id,scenic_id,word,frequency,sentiment,create_time
1,5,香港,1531,1,2025-12-03
2,5,海洋公园,3550,1,2025-12-03
3,5,位于,6,1,2025-12-03
4,5,港岛,2,1,2025-12-03
5,5,南区,1,1,2025-12-03
6,5,黄竹,3,1,2025-12-03
7,5,靠近,1,1,2025-12-03
8,5,地铁站,2,1,2025-12-03
9,5,没有,22,1,2025-12-03
10,5,直达车,1,1,2025-12-03
11,5,必先,1,1,2025-12-03
12,5,坐地铁,1,1,2025-12-03
13,5,金钟,7,1,2025-12-03
14,5,换乘,3,1,2025-12-03
15,5,629,3,1,2025-12-03
16,5,巴士,3,1,2025-12-03
17,5,10,11,1,2025-12-03
18,5,分钟,3,1,2025-12-03
19,5,多有,1,1,2025-12-03
20,5,分为,6,1,2025-12-03
21,5,部分,9,1,2025-12-03
22,5,分别,3,1,2025-12-03
23,5,北面,1,1,2025-12-03
24,5,山下,14,1,2025-12-03
25,5,花园,3,1,2025-12-03
26,5,南面,3,1,2025-12-03
27,5,南朗山,2,1,2025-12-03
28,5,南麓,1,1,2025-12-03
29,5,大树,3,1,2025-12-03
30,5,南朗,3,1,2025-12-03
31,5,山以,1,1,2025-12-03
32,5,登山,8,1,2025-12-03
33,5,缆车,1047,1,2025-12-03
34,5,海洋,1052,1,2025-12-03
35,5,列车,21,1,2025-12-03
36,5,连接,5,1,2025-12-03
37,5,之间,6,1,2025-12-03
38,5,电梯,1,1,2025-12-03
39,5,两园间,2,1,2025-12-03
40,5,设有,2,1,2025-12-03
41,5,架空,2,1,2025-12-03
42,5,乘坐,5,1,2025-12-03
43,5,1.4,2,1,2025-12-03
44,5,公里,2,1,2025-12-03
45,5,来往,2,1,2025-12-03
46,5,两园,2,1,2025-12-03
47,5,观赏,6,1,2025-12-03
48,5,深水,3,1,2025-12-03
49,5,浅水湾,2,1,2025-12-03
50,5,海景,4,1,2025-12-03
51,5,海洋馆,501,1,2025-12-03
52,5,放养,1,1,2025-12-03
53,5,很多,1506,1,2025-12-03
54,5,鱼类,2,1,2025-12-03
55,5,游乐,1012,1,2025-12-03
56,5,设施,514,1,2025-12-03
