用户名,评论
*咯,首先说一下住行都非常的nice!环境很不错，其次说一下吃的，个人觉得挺不错的，都是当地的特色菜。导游 对我们很尽心尽责，尤其是导游的介绍和讲解非常的棒！最后说一下玩 那环境是没的说的了 空气非常好。如果有朋友要来游玩的话这个季节记住昼夜温差还是挺大的，但中午的温度很适中哦，天气就像说的那样 阳光甚好微风不燥！云南是一个旅游的不二选择！
王*念,总体来说非常满意的一次旅行，性价比真的超高，行程安排的还是挺合理的，住的地方离古城很近，晚上行程结束可以去古城转转，听听歌，一定要去吃云南这边的小吃，很不错。蓝月谷真的很美，拍照也很漂亮。导游会给你讲很多当地的民风民俗，让你更多的去了解。行程中的接车师傅也都很淳朴，客服服务也很好，及时跟进行程进度，安排好每个时间点，整体来说这次出行旅游还是很满意的。
张*宁,来云南旅游一次不容易，就想一次多玩几个地方，划算。整体玩下来很开心，洱海很美，幸好听了朋友的话。丽江古城小桥流水，处处是景，还有很多美女鼓手，很养眼的，玉龙雪山很壮观，丽江是我比较喜欢的，有高反的朋友上山记得买氧气瓶，平原地区生活习惯了缺氧比较严重。吃的特色团餐都很好吃，还有很多云南特色小吃，这次旅行认识了很多朋友，我们还录了小视频，很喜欢，下次有时间还会来玩。
*海,行程安排的很好，很满意，云南的风景很迷人，丽江是云南旅行绕不开的一个地方，许多初次来云南旅游的人都会到这里，我也特别喜欢丽江所以选择了这个有丽江的团。说起丽江，想来更多是听说这里是个艳遇之都，那就少不了姑娘们如花似蝶般的身影，这也是吸引各地帅哥们蜂拥而至的原因吧，整个行程挺愉快的，吃住服务方面都好，与客服聊的很愉快，在这里给他们的服务点个赞，下次出行还选你们
马**用户,这次云南感受是  七彩云南名不虚传，风景很好，山清水秀，风光宜人。整个行程最满意的景点就是丽江古城。这次旅行住的酒店也非常的满意 这个非常好！ 工作生活中的烦恼在大自然的鬼斧神工面前消失的干干净净，自己觉得太渺小了。 湖边当地居民卖的炸小鱼小虾还有煮玉米超好吃，强烈推荐！丽江古城夜景挺好， 大理古城至少还有古城墙可以看（哈哈），还是挺漂亮的。这次旅行很值得！体验很好
马**用户,我们的导游人非常好，非常专业，上知天文下知地理，对我们的各种好奇和疑问，他往往都能解答的非常透彻，整个游玩过程中给我们细心的讲解着各种城市和景点的背景故事，经常主动帮我们拍各个美景的合照，非常感谢这么些天的照顾，希望下次还能遇到和导。
马**用户,此次旅行总的来说还是非常圆满的，给安排的团队小伙伴也都非常好，虽然说行程有点赶，但还是很值得回忆的一次旅程。我们的导游雪糕经验丰富，也很耐心负责，下次如果有机会再来云南，还跟雪糕的团哈哈。
马**用户,非常开心的一次旅行，导游非常认真负责，每天早上提早到达等大家，一路上对我们也照顾有加。一路景色也很美，下次还来云南。
马**用户,出行不易，顾导每天安排团友做核酸，每个景点也给予详细的介绍，司机和师傅也辛苦了，整体行程非常满意，丽江古城很有风情，大理洱海非常浪漫唯美，云南之行令人难忘。
马**用户,导游是当地的少数民族，普通话说的非常好，经验非常丰富，线路的调整，景点时间的安排，当地的注意事项及特色、风土人情都有提及到。非常善心的导游，提示我们满处都卖的彩色编辫子，很多旅游的人都买，觉得很漂亮，但是在当地少数民族里代表是寡妇的意思。在这里也希望不要很多的人因为漂亮去买。还有到了圣托里尼，景点已经不让进人了，导游和当地沟通了20多分钟，景点才让进，在这里也非常感谢导游。还有我们的司机师傅，到的比我们早，回去比我们晚，还帮忙提行李，去泸沽湖的山路一直为我们保驾护航，点赞。
马**用户,这次丽江之行很满意！一路都是玩，加上导游和导很专业，不仅玩的尽兴，还了解了当地的不少风土人情。期待下次再来云南。
马**用户,完美的旅程，使身心得到了放松；美丽的景色，使心灵得到了净化；专业的顾导，使行程得到了保障；优秀的团友，让行程更加完美！
马**用户,客服热情负责，有问必答，及时安排调整行程，避开了游客高峰。 导游和雪糕，专业性强，知识渊博，热情待人，工作认真细致，圆满的完成了整个行程。 司机扎西师傅，开车技艺娴熟，每天按时到达酒店出发。
马**用户,这次主要的行程在丽江，罗导游认真负责，热情周到很有耐心。云南风景秀美，玩的非常开心，吃住都很不错，玉龙雪山登上了4680。
