scenicSpot,date,star,comment
香港海洋公园,2019-04-2313:11:40,5,香港海洋公园位于香港港岛南区黄竹坑，不靠近地铁站，从香港去海洋公园没有直达车，必先先坐地铁到金钟，然后金钟换乘629巴士到海洋公园，629巴士非常多，10分钟多有就到海洋公园。香港海洋公园分为3部分，分别为位于北面的山下花园，和南面的南朗山南麓及大树湾，山下花园与南朗山以登山缆车和海洋列车连接。而南朗山与大树湾之间，则以登山电梯连接。两园间设有架空缆车，乘坐1.4公里的缆车，可来往于两园之间，在缆车内，可观赏深水湾、浅水湾海景。海洋馆放养了很多海鱼类，海洋公园内的游乐设施有过山车、摩天轮、海盗船等，惊险刺激，比较值得游玩。
香港海洋公园,2019-04-1111:27:33,5,小时候看TVB的时候不觉得，但是只知道海洋公园像迷一样的存在，长大后，终于有机会去香港，去现在的海洋公园玩，这感觉是很不一样的，这几天我在看壹号皇庭IV，里面欧阳震华和女医生去海洋公园坐缆车那一段，还有蔡少芬和吴启华去坐云霄飞车那一段，真的只有这两样还没变，尤其是缆车，很长、很抖，很吓人，我还真的觉得蛮恐怖的竟然是缆车这个项目。哈哈哈哈，当然海洋公园的游玩攻略我也大概说一下：进大门后，我们简单看了第一部分的景点。直接做了海洋列车到达了动感天地。区域：动感天地翻天覆地：就是大摆锤，贪生怕死的我是绝对不敢坐的······超速旋风：我没有印象了，但是也是一个高空旋转的项目，没有自转就是公转类型的雷霆节拍：平行世界的旋转，不停地旋转，而且非常快，速度之快，让你想吐·····动感快车：是过山车，但是当天好像没开，所以也就没玩成。动感天地的西北面是“冰极天地”，有时间的话建议游玩。极地时速：是没有360度的过山车类型，因为大的过山车没玩上，那这个自然是不能错过，而且在转圈处还能看到香港楼景哟。冰极天地还有两个室内景观，是南极和北极景观，可以看到可爱的小企鹅哦~~中午路过中间的热带雨林天地，吃了一个午饭，是在淘宝买票内有的午餐券，到有合作的餐馆里面给二维码就可以领餐了。吃完饭就马不停蹄的去了海洋天地区域。从地图上的顺序是从下往上的，因为最后我们要乘坐缆车下山。那么大家就知道了，中间走的路还是很多的······基本上每一个室内馆我们都进去看了。然后最后玩了全港首部VR过山车。就是那个山路十八弯感觉的轨道。然后走回缆车下山的地方，乘坐缆车下山，下来以后直接就到了一开始坐海洋列车的地方，当然可以忘香港老大街去，如果带孩子的话可以去威威天地，小朋友玩的地方。最后因为时间还很多，我们去了C5海洋奇观室内馆，看完之后真的有点累了，而且旅游团好多游客也在蜂拥而至，我们就准备回程了。
香港海洋公园,2019-04-0116:31:02,4,说句实话，如果是带娃去，去迪士尼会更好玩些，对于小朋友来说，海洋公园更多的是看和观赏海洋生物及表演，高峰乐园基本上都是成人才能玩的。交通：地铁到金钟，然后转629（注意巴士有固定时间点的间隔半小时，错过要等很长时间），个人建议还是直接转地铁南港岛线更快）餐饮：不允许带食物和饮料，安检比迪士尼更宽松，就拉开看一下而已。可以网上买5选1餐厅，不过要事先了解餐厅的位置，找离自己位置最近的餐厅用餐。海洋公园的餐厅不像迪士尼那么方便，遇到高峰还要排队叫号，我们吃的是岚湾茶座，就餐厅经理在安排座位，有点懒散，卫生一般，效率不高，吃的只有指定的3款，味道还行。项目：高峰乐园，登山缆车（推荐，但排队较长，可以看海岸风景），热带激流（不推荐，没有可玩性），北极之旅（推荐，观赏海狮海豹），南极之旅（装修未开放），海洋剧场（海豚海狮表演，环保主题，推荐），水木万花筒、寻鲨探秘（都推荐）。海滨乐园，威威天地（适合3-6岁儿童玩耍），亚洲动物（只有2只熊猫，几条鳄鱼、金鱼可看），环回水世界（旋转木马，有工作人员拍照，会制作成相框、礼品，花了380港币，贵的有点离谱），时间有限，海洋奇观完美错过，园区关闭太早，18：00准点项目关闭总之，要想玩的全，玩得爽，还是要尽早到达海洋公园，半天确实有点赶，而且高峰乐园路线要规划好，不然有时候经常要走回头路，带小孩的，天气热，就很难受。
香港海洋公园,2019-03-2411:04:50,5,香港海洋公园位于香港南部香港仔的海洋公园道。建筑为中国传统的园林风格，是世界最大的海洋公园之一，占地170英亩，建成于1977年元月。位于海洋公园一侧的水上乐园，是既新鲜又有趣的水上活动场地，我们主要在此观看表演和进行娱乐活动。
香港海洋公园,2019-02-1816:48:00,5,风光：有山上山下2个区域，尤其是坐缆车，能俯视公园所在的岛崖与海洋，尤其是傍晚，游乐园灯光通明时，更是漂亮极了。特色：有动物，有表演，更有小中大各类型的电动游乐项目，满足小朋友，没有成长的大朋友，撒欢玩的想法服务：园区里的工作人员很是和善。注意：可以带保温杯，我家是装满热水的，没让我们倒掉。看到有香港市民带了3瓶保温杯+1瓶矿泉水进园。因为园区内没有添加热水的地方，喝水不是那么方便。
香港海洋公园,2019-02-1713:26:00,4,没有直达的地铁！在罗湖到九龙塘转太子转金钟再到海洋公园站！在家里8点多出发，12点到达海洋公园！哈哈哈，期间四小时！反正也就是佛系赶路吧！因为带女儿，女儿才三岁多，也玩不了什么东西！就是走走看看！每个项目都大约要排队一小时左右，所以一天下来也玩不了几个项目吧！看了下海洋动物，还有企鹅，还有海豚表演，上下山都坐了缆车！上去有点害怕！下来就不怕了！排队也是一小时左右！反正就是排队排队排队哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈！！！然后说说里面吃的东西，一个字贵，两个字难吃！哈哈哈！最好吃的东西就麦当劳！还有可乐！！！那些其他店里的小吃都是难吃得不能再难吃！刷新了我对香港美食的新认识哈哈哈！去一次不会再去了哈哈哈！反正就带孩子到此一游吧！！！下次去迪士尼看看！！
香港海洋公园,2019-02-1116:21:56,5,迪士尼和海洋公园选择了后者。这里主要是观赏各种小动物、海洋生物，还有很多成人玩的游乐设施，喜欢这些项目的就来这里，而喜欢拍照、喜欢梦幻一点的可以选择迪士尼。建议到达海洋公园后，先排队搭乘登山缆车游玩山上的项目，游客多时排队时间可能较长，但可以俯瞰整个海洋公园以及海港之外；之后再搭乘海洋列车下山游览山下的项目，海洋列车其实就是像地铁一样连接山上山下的交通工具。
香港海洋公园,2019-02-1114:53:00,5,香港海洋公园拥有海洋水族馆及主题游乐园，凭山临海，旖旎多姿，是访港旅客最爱光顾的地方。在这里不仅可以看到趣味十足的露天游乐场、海豚表演，还有千奇百怪的海洋性鱼类、高耸入云的海洋摩天塔，更有惊险刺激的越矿飞车、极速之旅，堪称科普、观光、娱乐的完美组合。
香港海洋公园,2019-01-2822:38:04,5,香港海洋公园是很多人极为推荐的。也是本次必打卡地。海洋公园分为山上和山下两部分，山下主要是各种海洋动物馆，科普性质，山上主要是各种海洋主题乐园，游乐项目居多。山上山下由缆车或小火车相连。当天阴天，缆车停运，只能错过缆车，有些遗憾。这个馆，名字记不清了，这里是海狮们畅游的地方，非常美。
香港海洋公园,2019-01-2810:56:04,5,香港海洋公园还是值得一玩的，地铁可以直达很方便。海洋公园早上10点开门，事先可以订好票直接刷二维码入院。从现在到2月28日对大陆游客还有优惠，成人门票买一送一，二人才399元。但是刷二维码入园的话就不像迪斯尼会出门票给你，这个刷了二维码就没有门票可以纪念了，而且APP上说的扫门票可以预约快速通道的事也就黄了。再吐槽下海洋公园的APP，和迪斯尼的APP完全不可比。必须使用园内wifi才可以查看定位，但是网络并不太好，定位也不太准确，排队信息差异也比较大。所以进门一定一定记得拿地图。进入海洋公园首先是海滨乐园，有个很大的水族馆，十分壮观，适合小朋友，比上海浦东海洋馆人少多了，可以最后出园前慢慢逛。水族馆出口就是一个很大的纪念品商店，如果想买纪念品又不想一直拿着累赘，可以选择在这里买。主要的游乐设施都在山上的高峰乐园，上山一般有二条线路，一个坐海洋列车4分钟就可以上山，类似地铁一样。另一个是十分推荐的缆车，沿途景色非常迷人，可以看到山景、海景，远处城市风光。但是缆车11点才开放，如果你是10点半后入园的，建议直接排缆车。或者10点入园后先坐海洋列车上山游玩，11点直接坐缆车下山，这个时候下山的游客几乎没有，就省了排队的时间。高峰乐园有很多游乐设施，由于小朋友比较多，因此适合小朋友的项目排队的人都比较多，反而好几个刺激的游乐项目只需排15分钟。高峰乐园各节目中海豚表演是不能错过的，APP和地图上都有时刻表，由于人很多需提前入场。表演结束后需要了解海豚习性的小朋友可以到右边最下方，工作人员还会有进一步交流。我们是4点多开始下山的，这个时候缆车已经要排队一个小时以上了，我们坐的海洋列车下山，在海滨乐园的水族馆一直逛到6点工作人员开始赶人。出了海洋公园，地铁一站到金钟准备换乘其他地铁的，但是遇上下班高峰，地铁站人山人海，最终金钟出站换了Bus回酒店。
