标题,类型,地点,价格,评分,收藏数,地区
【路客】【错峰出游】五一广场丨坡子街丨西路丨IFS国金中心丨近贺龙体育馆丨乐和城丨青少年宫丨1居,整套1室 · 2床 · 可住4人,五一广场/贺龙,¥279,5.0,131,长沙
云舍/北欧风/全屋智能科技/付费停车/坚果巨幕投影/五一广场/IFS国金中心/太平街/橘子洲/岳麓山,整套1室 · 1床 · 可住2人,五一广场/贺龙,¥180,4.8,565,长沙
近IFS国金中心/黄兴广场/都正街《长公馆·朴宿》小确幸大床房,整套1室 · 1床 · 可住2人,五一广场/贺龙,¥309,4.1,2,长沙
【奶茶煮意】五一广场/IFS国金中心九龙仓/地铁口/太平街/黄兴路/巨幕投屏/全屋榻榻米/橘子洲/落地窗/榻榻米,整套1室 · 1床 · 可住2人,五一广场/贺龙,¥258,5.0,635,长沙
近地铁口高端装修公寓住宿 免费接送机场高铁站,整套1室 · 1床 · 可住2~3人,长沙南站,¥139,5.0,474,长沙
［留夏美宿］舒适-全新装修/地铁口/梅溪步步高/一师范学院/涉外经济学院/51广场/梅溪湖/橘子洲/太平街/麓谷商圈,整套1室 · 1床 · 可住2人,高新开发区、麓谷,¥128,5.0,29,长沙
【久桐-壹壹】五一广场/近地铁口/休闲娱乐/麻将房/可住6人/解放西路,整套2室 · 3床 · 可住6人,五一广场/贺龙,¥500,5.0,10,长沙
地铁口【标准双床房一】月租优惠，湘雅附三/省肿瘤医院/西湖公园/58小镇/河西步步高王府井附近/可长短租/有厨房/家电齐,整套1室 · 2床 · 可住4~5人,市委/市政府,¥110,4.1,1580,长沙
【遇见】长沙火车站/机场大巴/地铁直达五一广场/临商场 友谊阿波罗/橘子洲头 公园 可做饭投影仪  影院房 长短租更优惠,整套1室 · 1床 · 可住2人,距五一广场直线3.2公里 芙蓉区,¥188,4.9,2005,长沙
【闺宿】民国风装饰/双地铁/步行街/投影房/天心阁/都正街/ IFS/火宫殿/杜甫江阁/文和友/一站式打卡好方便。,整套1室 · 1床 · 可住2人,五一广场/贺龙,¥249,5.0,30,长沙
(中氏风)都正小楼 五一广场，近黄兴广场，化龙池， 天心阁,独立一间1室 · 1床 · 可住2~3人,五一广场/贺龙,¥138,4.4,1174,长沙
