country,city,city_en,peopleNum,hotSpot,cityDetail,imgUrl
俄罗斯,莫斯科,moscow,36989人去过,红场|克里姆林宫|圣瓦西里大教堂|无名烈士墓|列宁墓|莫斯科河|喀山大教堂|圣母升天大教堂|基督救世主大教堂|莫斯科国家历史博物馆|莫斯科圣母领报大教堂|阿尔巴特街|沙皇炮|伊凡大帝钟楼|莫斯科国立大学|麻雀山|天使长大教堂|新圣女公墓|莫斯科凯旋门|朱可夫青铜雕像,//place.qyer.com/moscow/,https://pic.qyer.com/album/198/53/1914800/index/cover
俄罗斯,圣彼得堡,st-petersburg,18271人去过,滴血救世主教堂|冬宫广场|涅瓦大街|埃尔米塔日博物馆|叶卡捷琳娜宫|彼得保罗要塞|青铜骑士|喀山大教堂|圣以撒大教堂|夏园|亚历山大纪念柱|叶卡捷琳娜花园|涅瓦河|彼得霍夫宫|普希金市|圣彼得堡总参谋部大楼|阿芙乐尔号巡洋舰|海军部大厦|尼古拉一世雕像|俄罗斯国家博物馆,//place.qyer.com/st-petersburg-russia/,https://pic.qyer.com/album/17b/14/1879697/index/cover
俄罗斯,伊尔库茨克,irkutsk,5542人去过,卡尔•马克思大街|喀山大教堂|列宁路|基洛夫广场|列宁纪念碑|伊尔库茨克州方志博物馆|130街区|斯帕斯卡娅教堂|主显灵大教堂|罗马天主教堂|凯旋门 (莫斯科大门）|圣十字教堂|伊尔库茨克火车主题公园|神兽巴布尔（Babr）|十二月党人博物馆|Рассольник|西伯利亚开拓者|十二月事件路|伊尔库茨克国际机场|伊尔库茨克市历史博物馆,//place.qyer.com/irkutsk/,https://pic.qyer.com/album/user/495/98/RUBQSxIHYg/index/cover
俄罗斯,符拉迪沃斯托克(海参崴),vladivostok,3524人去过,符拉迪沃斯托克（海参崴）火车站|潜水艇C-56博物馆|符拉迪沃斯托克列宁纪念碑|鹫巢瞭望台|苏维埃战士纪念碑|金角湾大桥|东正教堂|斯维特兰斯卡亚大街|俄罗斯凯旋门|托卡内夫灯塔|太平洋舰队博物馆|阿德米拉拉•佛基纳大街|祖玛餐厅|符拉迪沃斯托克要塞博物馆|阿列乌茨卡亚大街|俄罗斯远东联邦国立大学|太平洋舰队司令部|俄罗斯岛大桥|玻璃海滩|海洋博物馆,//place.qyer.com/vladivostok/,https://pic.qyer.com/album/user/1767/22/QE5TRRgFY0s/index/cover
俄罗斯,贝加尔湖,lake-baikal,3160人去过,卡尔•马克思大街|喀山大教堂|列宁路|基洛夫广场|列宁纪念碑|伊尔库茨克州方志博物馆|胡日尔村|130街区|萨满岩石|斯帕斯卡娅教堂|主显灵大教堂|罗马天主教堂|贝加尔湖博物馆|萨满柱|哈伯伊角|凯旋门 (莫斯科大门）|圣十字教堂|利斯特维扬卡怀旧公园|伊尔库茨克火车主题公园|神兽巴布尔（Babr）,//place.qyer.com/lake-baikal/,https://pic.qyer.com/album/user/496/26/RUBTQBwGZg/index/cover
俄罗斯,弗拉基米尔,vladimir,3039人去过,圣母升天大教堂|弗拉基米尔金门|德米特里耶夫斯基教堂|圣三一教堂|弗拉基米尔·莫诺马赫大公纪念碑|教堂广场上的纪念碑|博戈柳布瓦|天使长米迦勒教堂|水塔|弗拉基米尔历史博物馆|救世主教堂|圣玫瑰堂|涅尔利代祷教堂|圣尼古拉教堂|圣乔治教堂|弗拉基米尔金门|耶稣圣诞男修道院|尼基塔教堂|亚历山大涅夫斯基雕像|安德烈卢布廖夫铜像,//place.qyer.com/vladimir/,https://pic.qyer.com/album/user/507/53/RElSRxkBZg/index/cover
俄罗斯,苏兹达尔,suzdal,3029人去过,苏兹达尔克里姆林|圣母修道院|木造建筑博物馆|古贸易长廊|圣袍修道院|木制圣尼古拉教堂|圣母升天教堂|叶夫菲米救主修道院|圣袍修道院双拱圣门|复活教堂|古老的圣袍修道院钟楼|圣母圣袍法规大教堂|前圣三一修道院圣门|苏兹达尔田园风光|波克罗夫斯基修道院|圣拉扎卢斯和圣季皮斯教堂|波扎尔斯基纪念碑|君士坦丁大帝教堂和圣母抚慰教堂|斯摩棱斯克教堂|圣诞教堂,//place.qyer.com/suzdal/,https://pic.qyer.com/album/user/379/6/Qk5cQhwCYQ/index/cover
俄罗斯,叶卡捷琳堡,yekaterinburg,2714人去过,叶卡捷琳堡滴血大教堂|叶卡捷琳堡历史博物馆|叶卡捷琳堡发现者纪念铜像|欧亚边界纪念碑|Vainer 步行街|1905广场|伊塞特河河坝|谢瓦斯捷娅诺夫宫|叶卡捷琳堡美术博物馆|Vysotsky 摩天大楼观光厅|QWERTY键盘纪念碑|神圣殉道者修道院|圣凯瑟琳教堂|青年劳动者路堤|叶卡捷琳堡火车站|幸福石(辉石)|自行车发明者叶菲姆. 阿尔塔莫诺夫雕像|石刻与珠宝艺术博物馆|建筑和设计博物馆|Grinvich 城市商业中心,//place.qyer.com/yekaterinburg/,https://pic.qyer.com/album/user/444/50/RU1RRxoEZg/index/cover
俄罗斯,谢尔盖耶夫,sergiyev-posad,2497人去过,谢尔盖圣三一修道院|圣三一修道院钟楼|圣母升天大教堂|圣水礼拜堂|圣三一大教堂|圣三一修道院沙皇的行宫|圣谢尔盖餐厅教堂|谢尔盖耶夫历史与艺术博物馆|谢尔盖耶夫观景台|杜霍夫斯基教堂|谢尔盖耶夫无名烈士墓|谢尔盖耶夫修道院圣器展览室|主升天教堂|玩具博物馆|Russkiy Dvorik Restaurant|谢尔吉耶夫火车站|Avtovokzal汽车站|Varennichnaya 9|Russian yard,//place.qyer.com/sergiyev-posad/,https://pic.qyer.com/album/user/595/58/REBQRxIOZw/index/cover
俄罗斯,摩尔曼斯克,murmansk,2161人去过,列宁号核动力破冰船|捷里别尔卡 Териберка|摩尔曼斯克北极圈城市标志68°58′N 33°03′O|阿廖沙雕像|麦当劳|摩尔曼斯克州地方志博物馆|科拉湾|摩尔曼斯克州美术馆|洛沃泽罗游客中心|北方舰队博物馆|猎人餐厅|摩尔曼斯克火车站|摩尔曼斯克机场|White Rabbit|LOVOZERO维克多极光基地|基洛夫斯克|Cafe Yunost|Lovozero|苔原餐厅|DnB NOR Monchebank退税点（1）,//place.qyer.com/murmansk/,https://pic.qyer.com/album/1a1/ff/2034006/index/cover
