country,city,city_en,peopleNum,hotSpot,cityDetail,imgUrl
日本,东京,tokyo,138561人去过,浅草寺|东京塔|涩谷区|新宿三丁目歌舞伎町|皇居|台场|上野公园|东京迪士尼度假区|东京晴空塔|六本木|银座|东京自由女神|新宿|秋叶原|彩虹大桥|新宿御苑|六本木新城|八公像|三鹰之森吉卜力美术馆|原宿竹下通,//place.qyer.com/tokyo/,https://pic.qyer.com/album/123/c8/1866577/index/cover
日本,大阪,osaka,118852人去过,大阪城天守阁|道顿堀|大阪城公园|日本环球影城|道頓堀つりぼり|蟹道乐(道顿堀本店)|一兰拉面(道顿堀店)|心斋桥|通天阁|梅田空中庭院展望台|大阪新世界|道頓堀|天保山大摩天轮|哈利波特乐园|大阪海游馆|黑门市场|四天王寺|御堂筋|Hep Five摩天轮|关西国际机场,//place.qyer.com/osaka/,https://pic.qyer.com/album/user/387/88/QkFSShIGZA/index/cover
日本,京都,kyoto,114673人去过,清水寺|伏见稻荷大社|金阁寺(鹿苑寺)|花见小路|八坂神社|二条城|二年坂和三年坂|祇园角|岚山|鸭川|京都塔|嵯峨野 竹林|三十三间堂|渡月桥|平安神宫|天龙寺|哲学之道|地主神社|银阁寺|京都拉面小路,//place.qyer.com/kyoto/,https://pic.qyer.com/album/user/495/23/RUBQQBkGYw/index/cover
日本,奈良,nara,60334人去过,奈良公园|东大寺|春日大社|兴福寺|二月堂|奈良町|唐招提寺|若草山|奈良国立博物馆|法隆寺|东向商店街|药师寺|近铁奈良车站|冰室神社|猿沢池|JR关西本线奈良站|春日荷茶屋|平城宫迹资料馆|春日山原始林|平宗柿叶寿司总店,//place.qyer.com/nara/,https://pic.qyer.com/album/user/724/99/RktRSxMEYg/index/cover
日本,札幌,sapporo,34827人去过,大通公园|白色恋人公园|札幌电视塔|札幌市钟楼|北海道厅旧本厅遗址|札幌拉面共和国|北海道神宫|JR Tower|狸小路商店街|北海道大学札幌キャンパス|札幌站|薄野|二条市场|札幌啤酒博物馆|札幌地下街|圆山公园（札幌）|札幌螃蟹本家（札幌站前店）|札幌ESTA|北海道大学植物園内博物館|中岛公园,//place.qyer.com/sapporo/,https://pic.qyer.com/album/user/275/76/Q05QRRwHYw/index/cover
日本,箱根,hakone,27236人去过,大涌谷|芦之湖|箱根神社|箱根强罗公园|箱根海贼船|箱根雕刻之森美术馆|箱根七汤|箱根玻璃之森美术馆|箱根海盗船|早雲山|小王子美术馆|小田原城|箱根空中缆车|箱根登山火车|箱根登山缆车|恩赐箱根公园|箱根元町|箱根登山电车|箱根登山巴士|箱根周游票,//place.qyer.com/hakone/,https://pic.qyer.com/album/user/418/99/RUhdSxMCYg/index/cover
日本,名古屋,nagoya,25134人去过,名古屋城|热田神宫|名古屋电视塔|JR中心塔|大须观音|名城公园|绿洲21|平和公园|中部国际机场|大须商业街|あつた 蓬莱軒 本店（蓬莱陣屋）|JR名古屋站|名古屋港水族館|德川园|矢场猪 矢场町本店|丰田产业技术纪念馆|名古屋乐高乐园|名古屋站前地下商业街|名铁百货店|鹤舞公园,//place.qyer.com/nagoya/,https://pic.qyer.com/album/user/2578/84/Q0xSShIDZEg/index/cover
日本,北海道,hokkaido,23554人去过,小樽运河|大通公园|白色恋人公园|函馆山|札幌电视塔|登别地狱谷|札幌市钟楼|北海道厅旧本厅遗址|小樽运河仓库群|新千岁机场多啦A梦空中乐园|蒸汽钟|札幌拉面共和国|六花亭|小樽浪漫馆|函馆朝市|五稜郭公园|富田农场|旭山动物园|北海道神宫|北菓楼,//place.qyer.com/hokkaido/,https://pic.qyer.com/album/user/2579/12/Q0xSSxsFaUA/index/cover
日本,富士山地区,mt-fuji-,19290人去过,河口湖|富士山|忍野八海|河口湖站|河口湖八音盒之森|御殿场奥特莱斯|河口湖自然生活馆|天上山公园|富士急高原乐园|花之都公园|风之露台KUKUNA|富士山西湖|富士山小御岳神社|河口湖美术馆|富士山五合目|河口湖富士山全景缆车|登富士山|梨川红叶回廊|新倉山浅間神社|HANA烤肉 (河口湖店),//place.qyer.com/mt-fuji/,https://pic.qyer.com/album/1b1/10/1829432/index/cover
日本,小樽,otaru,18832人去过,小樽运河|小樽运河仓库群|蒸汽钟|六花亭|小樽浪漫馆|北菓楼|小樽八音盒堂|旧手宫线铁道遗址|北一硝子馆|小樽雪灯路|政寿司本店|天狗山|原日本银行小樽支店|船见坂|小樽洋菓子铺Le Tao|小樽站|大正硝子馆|小樽音乐盒堂本馆|旧北海道拓殖银行小樽支行|小樽运河工艺馆,//place.qyer.com/otaru/,https://pic.qyer.com/album/14d/54/1918773/index/cover
日本,神户,kobe,18759人去过,神户港塔|北野异人馆街|中華街 (南京町)|风见鸡馆|六甲山展望台|有马温泉|美利坚公园|萌黄馆|六甲山|生田神社|三宮センター街|神戸牛ステーキレストラン モーリヤ(三宮店)|三宫中心街|舞子公园|北野天满神社|旧居留地|摩耶山和掬星台|孙文纪念馆|元町商店街|阪急Hankyu 线,//place.qyer.com/kobe/,https://pic.qyer.com/album/user/1219/35/QEtUSxkCaEs/index/cover
日本,横滨,yokohama,15683人去过,横滨中华街|港未来21区|山下公园|横滨红砖仓库|横滨太空世界|横滨地标塔大厦|元町|日本丸纪念公园|马车道|新横滨拉面博物馆|横滨八景岛海岛乐园|横滨国际码头|横滨市开港纪念馆|山手西洋馆|日本大通|三溪园|神奈川县立历史博物馆|横滨皇后广场|横滨美术馆|日产体育场,//place.qyer.com/yokohama/,https://pic.qyer.com/album/user/1126/12/QEhXRBsFYUA/index/cover
日本,镰仓,kamakura,14325人去过,镰仓高校|鹤冈八幡宫|高德院镰仓大佛|长谷寺|镰仓高校前站|江岛神社|江之岛站|圆觉寺|江之电|明月院|镰仓站站前广场|由比ケ浜|片濑江之岛站|镰仓小町通|由比滨海滩|建长寺|JR镰仓站|藤泽站|极乐寺|钱洗弁财天宇贺福神社,//place.qyer.com/kamakura/,https://pic.qyer.com/album/user/213/37/Q0hWQR0AZA/index/cover
日本,福冈市,fukuoka,13835人去过,福冈塔|櫛田神社|大濠公园|博多座|博多运河城|一兰拉面（天神西通店）|天神|星巴克（太宰府天满宫表参道店）|九州国立博物馆|JR博多站|舞鶴公園|JR博多城|住吉神社|福冈机场|天神地下街|一風堂（JR博多站店）|中州|博多河岸城|一兰拉面（博多运河城店）|特急由布院之森,//place.qyer.com/fukuoka/,https://pic.qyer.com/album/user/1034/48/QElWRh4PaU0/index/cover
