country,city,city_en,peopleNum,hotSpot,cityDetail,imgUrl
法国,巴黎,paris,148830人去过,埃菲尔铁塔|卢浮宫|巴黎凯旋门|香榭丽舍大街|塞纳河|巴黎圣母院|协和广场|巴黎圣心大教堂|巴黎歌剧院|蒙马特高地|蓬皮杜中心|巴黎战神广场|巴黎新桥|巴黎市政厅|卢浮宫凯旋门(小凯旋门)|西岱岛|奥赛博物馆|巴黎亚历山大三世桥|杜乐丽花园|巴黎塞纳河自由女神像,//place.qyer.com/paris/,https://pic.qyer.com/album/user/2320/59/Q0pXQh8OZ0k/index/cover
法国,尼斯,nice,36615人去过,尼斯老城区|尼斯天使湾|尼斯英国人漫步大道|尼斯马塞纳广场|尼斯城堡山|尼斯海角|尼斯圣母大教堂|尼斯海滩日光浴|埃兹小镇|尼斯加里波第广场|蔚蓝海岸上的璀璨明珠|俄罗斯东正教圣尼古拉大教堂|美国码头|尼斯中心火车站|林比亚港|尼斯老佛爷百货公司|尼斯蔚蓝海岸机场|Fenocchio冰激凌店|内格雷斯科酒店|尼斯港,//place.qyer.com/nice/,https://pic.qyer.com/album/1e3/4d/2045725/index/cover
法国,凡尔赛,versailles,33143人去过,凡尔赛宫|镜厅|玛丽－安托瓦内特的宫苑|凡尔赛公共图书馆|凡尔赛市政厅|圣路易主教座堂|凡尔赛圣母堂|凡尔赛宫大运河|The Royal Chapel|Marie-Antoinette's Estate|The Water Parterres|凡尔赛镇|国王的菜园|Museum of French History|Grandes & Petites Ecuries|Temple of Love|法国皇家歌剧院|大特里亚农宫|The Battles Gallery|Angelina Versailles,//place.qyer.com/versailles/,https://pic.qyer.com/album/1c8/be/2070093/index/cover
法国,里昂,lyon,20297人去过,里昂旧城|里昂圣让主教堂|富维耶圣母堂|百花广场|富维耶山|里昂古罗马剧场|里昂市政府|里昂人壁画|国际微缩电影艺术博物馆|沃土广场|波拿巴桥|金头公园|里昂美术馆|拉法耶特桥|里昂卢米埃博物馆|里昂城市和木偶博物馆|里昂国家剧院|里昂Part-Dieu火车站|里昂高卢罗马博物馆|里昂La Part-Dieu购物中心,//place.qyer.com/lyon/,https://pic.qyer.com/album/user/310/44/QkhVRh4AYA/index/cover
法国,戛纳,cannes,19227人去过,电影宫|戛纳老港|星光大道|自由林荫道|小十字大道|戛纳市政厅|圣玛格丽特岛|梅纳迪耶街|戛纳电影节|棕榈海滩赌场|城堡博物馆|艾斯佩蓝圣母院|蔚蓝海岸餐厅|圣奥诺阿岛|Lou Souleou|Rue d'Antibes|卡诺大道|苏克区|自由林荫道市场|La Croisette,//place.qyer.com/cannes/,https://pic.qyer.com/album/1d7/dc/2007002/index/cover
法国,阿维尼翁,avignon,18282人去过,阿维尼翁城墙|教皇宫|圣贝内泽桥|教皇宫广场|阿维尼翁圣母大教堂|钟楼广场|阿维尼翁市政厅|阿维尼翁小宫博物馆|岩石公园|阿维尼翁新城|阿维尼翁市中心火车站|安德烈城堡|高铁TGV车站|阿维尼翁戏剧节|金玉家|古造铸币厂|阿维尼翁集市|Christian Etienne|安格拉东博物馆|Avignon Synagogue,//place.qyer.com/avignon/,https://pic.qyer.com/album/153/9c/1995354/index/cover
法国,马赛,marseille,16469人去过,马赛老港|马赛守护圣母教堂|马赛主教座堂|伊夫岛|隆尚宫|马赛市政厅|卡朗格峡湾国家公园|圣约翰城堡|普拉多海滩公园|欧洲及地中海文明博物馆|弗里乌群岛|改革者教堂|加纳比耶尔大街|Le Panier街区|马赛古救济院|科布西耶组合住宅|马赛圣夏荷勒火车站|Sugiton峡湾|马赛游船码头|圣维克多修道院,//place.qyer.com/marseille/,https://pic.qyer.com/album/15c/70/1984611/index/cover
法国,普罗旺斯,provence,14877人去过,阿维尼翁城墙|教皇宫|圣贝内泽桥|教皇宫广场|阿维尼翁圣母大教堂|阿尔勒竞技场|梵高咖啡馆|钟楼广场|阿维尼翁市政厅|石头城游客中心|阿尔勒古罗马剧场|梵高疗养院|向日葵花田|凡尔登大峡谷和圣十字湖|红土城小镇|阿尔勒圣托菲姆堂|塞南克修道院|阿维尼翁小宫博物馆|Mirabeau林荫道|造纸坊,//place.qyer.com/provence/,https://pic.qyer.com/album/191/95/1886560/index/cover
法国,枫丹白露,fontainebleau,9313人去过,枫丹白露宫|枫丹白露城堡花园|枫丹白露森林|白马庭院|舞会大厅|椭圆庭院|小套间|拿破仑一世博物馆|拿破仑历史艺术博物馆|圣三一礼拜堂|枫丹白露-雅芳火车站|默伦|法国国家监狱博物馆|欧洲工商管理学院|莫雷小镇|Chateau de By Thomery|布鸿玛尔洛特|Pizza Mimi|Bistrot 9|L'Axel,//place.qyer.com/fontainebleau/,https://pic.qyer.com/album/133/06/1996446/index/cover
法国,斯特拉斯堡,strasbourg,8326人去过,斯特拉斯堡圣母大教堂|小法兰西|沃邦拦河坝|欧洲议会中心|斯特拉斯堡圣母院博物馆|谷登堡广场|斯特拉斯堡大岛|罗汉宫|共和国广场|斯特拉斯堡车站|斯特拉斯堡圣诞集市|Broglie广场|斯特拉斯堡桔园|斯特拉斯堡有轨电车|现当代美术艺术馆|斯特拉斯堡大学|斯特拉斯堡城市历史博物馆|阿尔萨斯博物馆|斯特拉斯堡游轮|两岸花园,//place.qyer.com/strasbourg/,https://pic.qyer.com/album/19e/97/1975970/index/cover
