country,city,city_en,peopleNum,hotSpot,cityDetail,imgUrl
美国,洛杉矶,los-angeles,81873人去过,好莱坞星光大道|好莱坞环球影城|TCL中国剧院|比弗利山庄|日落大道|洛杉矶迪士尼乐园|In-n-Out汉堡|盖蒂中心|格利菲斯天文台|好莱坞标志|加利福尼亚大学洛杉矶分校|小东京|丹麦城|洛杉矶市政厅|斯台普斯中心|格利菲斯公园|马里布海滩|好莱坞杜莎夫人蜡像馆|洛杉矶国际机场|圣莫尼卡海滩,//place.qyer.com/los-angeles/,https://pic.qyer.com/album/user/2547/95/Q0xRRRMCY0E/index/cover
美国,纽约,new-york,74892人去过,第五大道|时代广场|华尔街|自由女神像|中央公园|帝国大厦|大都会艺术博物馆|铜牛|百老汇|纽约证券交易所|布鲁克林大桥|洛克菲勒中心|纽约唐人街|911纪念园及博物馆|联合国大厦|美国自然历史博物馆|现代艺术博物馆|曼哈顿上东区|中央车站|三一教堂,//place.qyer.com/new-york/,https://pic.qyer.com/album/16c/09/1840667/index/cover
美国,旧金山,san-francisco,57450人去过,金门大桥|渔人码头|九曲花街|旧金山中国城|39号码头|联合广场|渔人码头街头小吃|艺术宫|旧金山市政大厅|金门公园|堡垒角国家历史遗迹|双峰|旧金山-奥克兰海湾大桥|Crab House at Pier 39|泛美金字塔|恶魔岛|日本城|旧金山国际机场|Boudin Bakery Cafe|卡斯特罗区,//place.qyer.com/san-francisco/,https://pic.qyer.com/album/user/406/75/RUlTRR8PaA/index/cover
美国,拉斯维加斯,las-vegas,46410人去过,拉斯维加斯大道|美丽湖酒店门前的音乐喷泉|威尼斯人酒店|拉斯维加斯标志|凯撒宫酒店|拉斯维加斯市区|巴黎酒店|拉斯维加斯自由女神|美国科罗多大峡谷|“埃菲尔铁塔”餐厅（拉斯维加斯）|百乐宫酒店|金银岛酒店|Eiffel Tower Experience at Paris Las Vegas|Hoover Dam Bypass|美高梅酒店|永利酒店|百乐宫自助餐厅|费蒙街|高塔游乐场|纽约纽约酒店,//place.qyer.com/las-vegas/,https://pic.qyer.com/album/user/1294/6/QEtcRhoBYkw/index/cover
美国,华盛顿,washington-d.c.,39103人去过,华盛顿纪念碑|华盛顿白宫|林肯纪念堂|国会山|国家广场|反思池|国家航空航天博物馆华盛顿分馆|越战纪念碑|美国国家美术馆|史密森尼国家自然历史博物馆|托马斯·杰斐逊纪念堂|潮汐湖|第二次世界大战纪念碑群|华盛顿中国城|五角大楼|朝鲜战争老兵纪念碑|国会图书馆|阿灵顿国家公墓|美国最高法院|乔治城,//place.qyer.com/washingtondc/,https://pic.qyer.com/album/1e3/62/1829444/index/cover
美国,波士顿,boston,28842人去过,昆西市场|自由之路|哈佛广场|三一教堂|波士顿老市政厅|波士顿公园|波士顿公共图书馆|唐人街|老州议会大厦|波士顿美术博物馆|卡普利广场|公园街教堂|老北教堂|MIT博物馆|法尼尔厅|约翰·汉考克大厦|马萨诸塞州议会大厦|邦克山纪念碑|波士顿惨案遗址|哈佛自然历史博物馆,//place.qyer.com/boston-usa/,https://pic.qyer.com/album/14b/30/1957942/index/cover
美国,奥兰多,orlando,27363人去过,奥兰多环球影城|迪士尼奇幻王国|哈利·波特魔法乐园|未来世界|冒险岛|迪士尼好莱坞影城|迪士尼动物王国|肯尼迪航天中心游客中心|奥兰多海洋世界|迪士尼综合商业区|Orlando International Premium Outlets|奥兰多国际机场|奥兰多市中心|迪士尼台风湖水上乐园|迪士尼风暴海滩|Orlando Vineland Premium Outlets|迪士尼街区商店|Old Town|Aquatica 海洋世界水上乐园|安利中心,//place.qyer.com/orlando/,https://pic.qyer.com/album/186/d0/2082828/index/cover
美国,芝加哥,chicago,23176人去过,千禧公园|云门|海军码头|华丽一英里|芝加哥中国城|芝加哥艺术博物馆|威利斯大厦|约翰·汉考克中心|马里纳城|水塔广场大厦|菲尔德自然历史博物馆|威利斯塔观景台|白金汉喷泉|芝加哥大学|川普大楼|火烈鳥雕塑|博物馆区|塞德水族馆|芝加哥期货交易所大楼|芝加哥奥黑尔国际机场,//place.qyer.com/chicago/,https://pic.qyer.com/album/user/986/28/SEFTQBIPYw/index/cover
美国,加州圣地亚哥,san-diego,22452人去过,中途岛号航空母舰博物馆|胜利之吻雕塑|圣地亚哥海洋世界|圣地亚哥港|拉霍亚海湾|圣地亚哥老城历史公园|巴尔博亚公园|科罗那多酒店|日落悬崖|圣地亚哥动物园|科罗纳多大桥|煤气灯街区|诺玛角老灯塔|加州乐高乐园|La Jolla Caves|La Jolla Shores|卡尔斯巴德海边花田|圣地亚哥野生动物园|卡布里奥国家纪念碑|科罗纳多海滩,//place.qyer.com/san-diego/,https://pic.qyer.com/album/user/432/77/RUpXRR0HZA/index/cover
美国,费城,philadelphia,21700人去过,自由钟|独立纪念馆|费城市政厅|国家独立历史公园|费城唐人街|费城老城|费城艺术博物馆|博爱公园|美国铸币厂|富兰克林大道|富兰克林故居遗址|宾夕法尼亚大学考古学及古人类学博物馆|长木花园|国家宪法中心|罗丹博物馆|威廉潘登陆地|费城华埠|东州教养所|贝茜·罗斯故居|雷丁集贸市场,//place.qyer.com/philadelphia/,https://pic.qyer.com/album/172/ca/1876610/index/cover
美国,西雅图,seattle,18385人去过,太空针|第一家星巴克|口香糖墙|Pike市场海鲜浓汤|华盛顿湖|西雅图音乐体验馆|先锋广场|派克市场|西雅图中国城|凯瑞公园|奇胡利玻璃艺术馆|飞行博物馆|西雅图公共图书馆|华盛顿大学法学院图书馆|The Crab Pot|西雅图69号码头|微软公司总部|西雅图水族馆|联合湖|西雅图艺术博物馆,//place.qyer.com/seattle/,https://pic.qyer.com/album/13b/84/1957870/index/cover
美国,美国尼亚加拉瀑布城,niagara-falls,16065人去过,尼亚加拉瀑布|康宁玻璃博物馆|尼亚加拉观瀑塔|大龟背观景平台|雾中少女号游船|尼亚加拉古堡|山羊岛|风洞|美国尼亚加拉大瀑布揽胜套票|Boldt Castle|千岛博物馆|三姐妹岛|漩涡州立公园|尼亚加拉峡谷探索中心|尼亚加拉水族馆|罗伯特摩西水电站|尼亚加拉瀑布城国际机场|国际美食街|星期五美式餐厅(尼亚加拉瀑布城)|尼亚加拉大瀑布自助餐,//place.qyer.com/niagara-falls-usa/,https://pic.qyer.com/album/175/65/2009997/index/cover
美国,大峡谷国家公园,grand-canyon-national-park,15452人去过,大峡谷南缘|大峡谷天空步道|大峡谷公园瞭望塔|亚瓦帕观景点|利帕观景台|大峡谷村庄|Mather Point|大峡谷直升机之旅|Yaki Point|大峡谷北缘|大峡谷西缘|Hopi Point|Grandview Point|隐士休息区|图萨扬遗迹博物馆|Havasupai印第安保留地|Bright Angel徒步路线|Powell Point|Mohave Point|小科罗拉多河纳瓦霍部落公园峡谷,//place.qyer.com/grand-canyon-national-park/,https://pic.qyer.com/album/user/309/25/QklcQB8BYw/index/cover
美国,迈阿密,miami,14985人去过,南海滩|小哈瓦那|美航中心|海明威故居|North Beach|零英里标志|菲兹卡亚博物馆与花园|迈阿密国际机场|Central Beach|比斯坎国家公园|迈阿密动物园|比斯坎湾|迈阿密水族馆|Joe’s Stone Crab|迈阿密港|自由塔|贝塞徳海湾市场|林肯路|Miami City Hall|珊瑚阁区,//place.qyer.com/miami/,https://pic.qyer.com/album/user/214/21/Q0hRQBsPZw/index/cover
美国,圣巴巴拉,santa-barbara,14165人去过,圣芭芭拉海滩|圣巴巴拉法院|圣塔芭芭拉教会|斯特恩码头|州立大街|圣巴巴拉公共图书馆|Santa Barbara艺术博物馆|East Beach|加州大学圣巴巴拉分校|Santa Barbara Museum of Natural History|Santa Barbara Shellfish Company|圣塔芭芭拉|Granada剧院|Santa Barbara动物园|圣芭芭拉主街|里根农场中心|圣巴巴拉要塞|荷花园|Santa Barbara植物园|Moreton Bay Fig Tree,//place.qyer.com/santa-barbara/,https://pic.qyer.com/album/174/74/2094469/index/cover
美国,盐湖城,salt-lake-city,13950人去过,摩门教会广场|摩门圣殿|大盐湖|犹他州政府|盐湖城大礼拜堂|摩门教圣地盐湖城|羚羊岛州立公园|盐湖城国际机场|杨百翰纪念碑和经络标记|宾汉峡谷铜矿场|世界第一家肯德基餐厅|大盐湖州立游艇码头|狮屋|家谱图书馆|Bonneville Salt Flats|玛德琳天主教堂|犹他州自然历史博物馆|约翰斯密斯纪念楼|盐湖城自由公园|能量释放球馆,//place.qyer.com/salt-lake-city/,https://pic.qyer.com/album/user/973/58/SE5WRxIFYA/index/cover
美国,加利福尼亚州蒙特雷,monterey,11766人去过,蒙特雷湾|老渔人码头|圆石滩|The Lone Cypress|鸟岩|海豹岩|蒙特雷湾水族馆|情人角公园|蒙特雷半岛休闲远足路线|加拉帕塔海滩|Pebble Beach Golf Links|Monterey Museum of Art – La Mirada|罐头厂街|Point Pinos Lighthouse|蒙特雷峡谷|Fanshell Overlook|海岸警卫队码头|蒙特雷艺术博物馆|蒙特雷湾观鲸鱼|传道院,//place.qyer.com/monterey/,https://pic.qyer.com/album/120/61/1974207/index/cover
美国,卡梅尔,carmel,11293人去过,17英里|卡梅尔海滩|Point Lobos State Reserve|艺术家的天堂|卡梅尔修道院|China Cove and Gibson Beach|Photography West Gallery|Monastery Beach|Del Mar Beach|Flaherty's海鲜烧烤及牡蛎吧|韦斯顿摄影画廊|Dametra Cafe|Gallery Twenty-one|Little Napoli|Seventeen Mile Drive|Coach Store|Tor House|Rodrigue Studio|Zantman Galleries|Flying Fish Grill,//place.qyer.com/carmel/,https://pic.qyer.com/album/user/483/18/RUFWQxIOaQ/index/cover
美国,加利福尼亚州圣荷西,san-jose,11228人去过,苹果总部|圣何塞艺术博物馆|玫瑰园|圣若瑟大教堂|Great Mall|圣何塞州立大学|雅虎总部|温彻斯特神秘屋|儿童发现博物馆|创新科技博物馆|日本友谊花园|凯利公园|Los Gatos丛林小路|乔布斯车库|快乐山谷公园和动物园|Santana Row|Mission Peak Regional Park|圣荷西埃及博物馆|明矾石公园|狂潮水上乐园,//place.qyer.com/san-jose-usa/,https://pic.qyer.com/album/101/f7/2031961/index/cover
美国,黄石国家公园,yellowstone-national-park,11160人去过,老忠实喷泉|大棱镜温泉|黄石湖|黄石大峡谷|猛犸象热泉区|西拇指间歇泉盆地|诺里斯间歇泉盆地|泥浆火山|黄石河|钓鱼桥|塔瀑|下间歇泉盆地|黑沙盆地|上间歇泉盆地|海顿山谷|中途间歇泉盆地|麦迪逊河|格兰特村|艺术家点|火洞河,//place.qyer.com/yellowstone-national-park/,https://pic.qyer.com/album/118/93/1986698/index/cover
美国,佩吉市,page,10923人去过,马蹄湾|上羚羊峡谷|鲍威尔湖|下羚羊谷|格兰峡谷大坝|羚羊峡谷|格兰大坝观景台|Glen Canyon National Recreation Area (Wahweap)|Rainbow Bridge National Monument|Antelope Canyon|壮美地貌奇观|毒菌岩步道|一品香大饭店|水洞峡谷|Lake Powell Church of the Nazarene|Big John's Texas BBQ|Antelope Lower Canyon|格兰峡谷国家休闲区|Lake Powell Entrance|长城餐厅,//place.qyer.com/page/,https://pic.qyer.com/album/131/e4/1094107/index/cover
美国,大瑟尔,big-sur,9823人去过,加州一号公路|比克斯比大桥|海象滩|Pfeiffer海滩|McWay瀑布|瑟尔角灯塔|Rocky Creek Bridge|帕菲佛-大苏尔州立公园|朱丽叶·菲佛·伯恩斯州立公园|Point Sur State Historic Park|Big Sur Station|帕廷顿湾|帕菲佛海滩|石灰窑州立公园|Ragged Point|Nepenthe餐厅|Julia Pfeiffer Burns State Park|The Esalen Institute|Coast Gallery Big Sur|亨利米勒纪念图书馆,//place.qyer.com/big-sur/,https://pic.qyer.com/album/user/213/79/Q0hWRRMPaA/index/cover
美国,圣莫尼卡,santa-monica,9674人去过,圣莫尼卡海滩|威尼斯海滩|66号公路终点|太平洋游乐场|第三步行街|In-n-Out汉堡|Urth Caffé (圣莫尼卡店)|Bubba Gump Shrimp Co. (Santa Monica)|Bru 华夫餐厅|In-n-Out汉堡|El Cholo|Aussie Pie Kitchen (Santa Monica店)|True Food Kitchen|Pono Burger|The Broad Stage|Gjelina Restaurant|In-n-Out汉堡|Umami Burger (Santa Monica店)|Oyster Blue Plate|Pintxo,//place.qyer.com/santa-monica/,https://pic.qyer.com/album/user/3600/28/Qk9VQhgPaU4/index/cover
美国,夏威夷,hawaii,9266人去过,威基基海滩|美国海军亚利桑那号战列舰纪念馆|夏威夷钻石头山|恐龙湾|密苏里号战舰纪念馆|夏威夷珍珠港|威基基海滩大道|欧胡岛伊欧拉尼皇宫|夏威夷火山国家公园|夏威夷日落海滩（欧胡岛）|钻石头山登顶步道|卡美哈国王铜像|喷泉口|古兰尼牧场|努阿努帕里大风口|玻里尼西亚文化中心|夏威夷州议会大厦|哈纳公路|哈雷阿卡拉国家公园|冒纳凯阿火山,//place.qyer.com/hawaii/,https://pic.qyer.com/album/1a6/61/1916380/index/cover
美国,檀香山,honolulu,9221人去过,威基基海滩|美国海军亚利桑那号战列舰纪念馆|夏威夷钻石头山|密苏里号战舰纪念馆|威基基海滩大道|欧胡岛伊欧拉尼皇宫|夏威夷日落海滩（欧胡岛）|钻石头山登顶步道|喷泉口|古兰尼牧场|玻里尼西亚文化中心|夏威夷州议会大厦|檀香山日本神庙|阿拉莫阿那中心|ABC商店|檀香山机场|丸龟制面|卡鲁瓦海滩公园|玛卡布灯塔|火奴鲁鲁动物园,//place.qyer.com/honolulu/,https://pic.qyer.com/album/158/ed/2048284/index/cover
美国,水牛城,buffalo,9190人去过,水牛城市政厅|水牛城中央车站遗址|水牛城伊利郡海军军事公园|布法罗尼亚加拉国际机场|Allentown历史城区|水牛城鸡翅|奥尔布赖特-诺克斯美术馆|Anchor Bar (Main Street)|布法罗科技博物馆|左岸|彩色音乐家俱乐部|谢伊表演艺术中心|布法罗港湾州立公园|安佳酒吧(布法罗机场店)|水牛城动物园|Broadway Market|Mulberry Italian Ristorante|安姆赫斯特中餐自助|水牛城植物园|Oliver's Restaurant,//place.qyer.com/buffalo/,https://pic.qyer.com/album/13f/a1/2021886/index/cover
美国,大峡谷镇,grand-canyon-village,9175人去过,Pima 景观台|卡罗拉大峡谷露营点|Big E Steak House,//place.qyer.com/grand-canyon-village/,https://pic.qyer.com/album/user/1122/88/QEhXQBIPaEo/index/cover
美国,优胜美地国家公园,yosemite-national-park,8470人去过,优胜美地山谷|优胜美地瀑布|新娘面纱瀑布|半圆顶|隧道观景点|镜子湖|冰川点观景点|莫诺湖|马里波萨谷巨杉林|伊尔酋长岩|土伦草甸|优胜美地瀑布徒步|Olmsted Point 观景点|特纳亚湖|山谷观景点|弗纳尔瀑布|哨兵草甸|迷雾徒步路线|内华达瀑布|半圆顶徒步,//place.qyer.com/yosemite-national-park/,https://pic.qyer.com/album/173/a3/2083707/index/cover
美国,巴尔的摩,baltimore,6439人去过,巴尔的摩内港|星座号古帆船|国家水族馆巴尔的摩分馆|五角世贸中心|423号潜艇|麦克亨利堡|巴尔的摩华盛顿国际机场|Fell's Point|弗农山历史街区|巴尔的摩和俄亥俄铁路博物馆|巴尔的摩宾夕法尼亚车站|金莺公园|华特斯艺术博物馆|巴诺书店(发电厂店)|巴尔的摩历史航运区|马里兰科学中心|沃尔特斯艺术陈列馆|莱克星顿市场|Captain James Seafood Palace|American Visionary Art Museum,//place.qyer.com/baltimore-usa/,https://pic.qyer.com/album/1ac/10/2019489/index/cover
美国,亚特兰大,atlanta,6326人去过,可口可乐世界|CNN总部|奥林匹克广场|乔治亚水族馆|乔治亚理工|石山公园|玛格丽特·米切尔之家|亚特兰大哈茨菲尔德-杰克逊国际机场|小马丁路得金恩历史遗迹|亚特兰大历史中心|亚特兰大高等艺术博物馆|Piedmont 公园|埃默里大学|下一站|亚特兰大动物园|亚特兰大植物园|美联储亚特兰大分行|莱诺克斯广场|亚特兰大地下城|CNN 中心大食代,//place.qyer.com/atlanta/,https://pic.qyer.com/album/123/4b/2028795/index/cover
美国,休斯顿,houston,6137人去过,休斯顿太空中心|丰田中心球馆|赫曼公园|休斯顿自然科学博物馆|休斯敦艺术博物馆|休斯顿博物馆区|休斯敦奥特莱斯|圣哈辛托战场|休斯顿乔治布什洲际机场|The Galleria|休斯顿大学|暮光之城|德克萨斯战舰|舒格兰|米勒露天剧场|休斯敦儿童博物馆|罗斯考小教堂|休斯顿交响乐团|得克萨斯监狱博物馆|China Goument,//place.qyer.com/houston/,https://pic.qyer.com/album/user/499/55/RUBcRx8GZA/index/cover
美国,棕榈泉,palm-springs,5767人去过,阳光之乡|棕榈泉沙漠市集|棕榈泉航空博物馆|棕榈泉艺术博物馆|摩登热带植物园|美国科切拉谷保护区|In-N-Out汉堡|棕榈泉狗狗公园,//place.qyer.com/palm-springs/,https://pic.qyer.com/album/user/1271/91/QEtSQxMGZ0A/index/cover
美国,波特兰,portland,5357人去过,先锋法院广场|哥伦比亚河谷|马尔特莫马瀑布|国际玫瑰试验园|波特兰唐人街|胡徳山|波特兰奥特莱斯|波特兰迪亚|波特兰联合车站|兰苏园|河滨公园(波特兰)|鲍威尔书店|波特兰森林公园|阿斯托里跨海大桥|卡农海滩|波特兰华盛顿广场|波特兰国际机场|波特兰日本庭园|波特兰艺术博物馆|皮多克豪宅,//place.qyer.com/portland-or/,https://pic.qyer.com/album/1b2/41/2082719/index/cover
美国,达拉斯,dallas,5302人去过,肯尼迪纪念广场|第六层博物馆|达拉斯艺术博物馆|美国航空中心体育馆|白岩湖公园|达拉斯植物园|美国南卫理公会大学|达拉斯—沃斯堡国际机场|Allen 奥特莱斯|NorthPark Center|海兰帕克|达拉斯水族馆|矢车菊花径|Fossil Rim 野生动物保护区|Giant Eyeball|乔治布什总统图书馆与博物馆|德州大学达拉斯分校|达拉斯动物园|重逢塔观景台|佩洛特自然科学博物馆,//place.qyer.com/dallas/,https://pic.qyer.com/album/10c/89/2014135/index/cover
美国,伯克利,berkeley,5264人去过,UC Botanical Garden at Berkeley|Berkeley Marina|伯克利艺术博物馆|劳伦斯伯克利国家实验室|Tilden Regional Park|Tilden Park Little Farm|Eastshore State Park|César Chávez Park|CREAM|Sather Tower|Chez Panisse|Sather Gate|印第安岩石公园|Fourth Street|Rivoli Restaurant|Zachary's Chicago Pizza|Ethnic Arts|Amphora Nueva|The Cheeseboard Pizza|Third Culture Bakery,//place.qyer.com/berkeley/,https://pic.qyer.com/album/user/315/40/QkhQRhoEYA/index/cover
美国,底特律,detroit,5196人去过,福特汽车博物馆|复兴中心|底特律机场|底特律艺术博物馆|Belle岛|底特律河边地区|通用汽车文艺复兴中心|底特律国际机场|亨利福特庄园|福特球场|奥本山宫殿球场|康美利加体育馆|希腊城|Campus Martius公园|福特河边大屋|格林费德村|费舍尔大厦|寇博中心|Great Lakes Crossing Outlets|密歇根中央火车站,//place.qyer.com/detroit/,https://pic.qyer.com/album/user/362/11/Qk9XQxsEaQ/index/cover
美国,丹佛,denver,4947人去过,红岩公园|市政厅金顶大厦|丹佛艺术博物馆|美国铸币局|丹佛市十六街商圈|丹佛自然科学博物馆|丹佛大学|丹佛国际机场|丹佛市区水族馆|六旗游乐园|百事中心|莫莉·布朗故居博物馆|科罗拉多州立大学|康胜啤酒酿造之旅|圣母无原罪主教座堂|水世界|Colorado Mills 奥特莱斯|丹佛三一联合卫理公会教堂|美国空军学院|Coors Field,//place.qyer.com/denver/,https://pic.qyer.com/album/user/1269/73/QEtTSx0EYE0/index/cover
美国,夏威夷大岛,"big-island,-hawaii",4761人去过,夏威夷火山国家公园|冒纳凯阿火山|普纳鲁吾黑沙海滩|彩虹瀑布|夏威夷州政府大楼|夏威夷火山博物馆|Kahalu'u海湾|国王谷|Kahalu'u Beach|库克船长纪念碑|卡拉埃|卡美哈美哈大帝雕像|绿沙滩|莫纳克亚天文台|南科纳海岸|哈普纳海滩|夏威夷热带植物园|Holei天然拱门|大岛最南端|阿卡卡瀑布州立公园,//place.qyer.com/big-island-hawaii/,https://pic.qyer.com/album/user/329/58/QktcRxIFZg/index/cover
美国,欧胡岛,oahu,4759人去过,威基基海滩|美国海军亚利桑那号战列舰纪念馆|夏威夷钻石头山|恐龙湾|密苏里号战舰纪念馆|夏威夷珍珠港|威基基海滩大道|欧胡岛伊欧拉尼皇宫|夏威夷日落海滩（欧胡岛）|钻石头山登顶步道|卡美哈国王铜像|喷泉口|古兰尼牧场|努阿努帕里大风口|玻里尼西亚文化中心|夏威夷州议会大厦|檀香山日本神庙|阿拉莫阿那中心|ABC商店|檀香山机场,//place.qyer.com/oahu/,https://pic.qyer.com/album/178/04/2021084/index/cover
美国,杰克逊,jackson,4698人去过,"杰克逊城镇广场|鹿角拱门|蛇河大峡谷|国家麋鹿保护区|Granite温泉|杰克逊洞博物馆|杰克逊霍尔滑雪场|野生动物艺术国家博物馆|Jackson Hole Airport, JAC|杰克逊小镇|Local Restaurant & Bar|Mural Room|The Kitchen餐厅|蓝狮子|格劳里耶特意大利餐厅",//place.qyer.com/jackson/,https://pic.qyer.com/album/user/525/7/REtQQh0PZw/index/cover
美国,大提顿国家公园,grand-teton-national-park,4508人去过,岔道口提顿山观景点|杰克逊湖大坝|珍妮湖|杰克逊湖|蛇河|Oxbow Bend Turnout|Schwabachers Landing|Mormon Row|Signal Mountain|珍尼湖观景台|Chapel of the Transfiguration|Cunningham Cabin|莫尔顿谷仓|Grand View Point|Mormon Row Historic District|Jackson Lake Overlook|壁画餐厅|下斯莱德湖|Inspiration Point|Signal Mountain Summit Road,//place.qyer.com/grand-teton-national-park/,https://pic.qyer.com/album/119/11/1962883/index/cover
美国,迈阿密海滩,miami-beach,4413人去过,明星岛,//place.qyer.com/miami-beach/,https://pic.qyer.com/album/user/1143/84/QEhRQRIDZk4/index/cover
美国,纳帕,napa,4240人去过,纳帕山谷|思令酒庄|Calistoga|城堡酒庄|罗伯特·蒙大菲酒庄|维沙托酒庄|纳帕奥特莱斯|Madonna Estate|美国烹饪学院加州分部|Bouchon Bakery|贝灵哲酒庄|姚家族葡萄酒品酒室|Napa热气球体验|Sutter Home Winery|卡内罗斯酒庄|Copia|赫斯精品酒庄和现代画廊|纳帕谷葡萄酒列车|Up and Away Ballooning,//place.qyer.com/napa/,https://pic.qyer.com/album/user/384/87/QkFRSh0OYA/index/cover
美国,索夫昂丹麦村,solvang,4201人去过,安徒生博物馆|小美人鱼喷水池|丹麦村历史艺术博物馆|Solvang Restaurant|圣塔伊涅兹修道院|索夫昂复古摩托车博物馆|Birkholm索夫昂丹麦烘焙及咖啡屋|Paul's Pancake House|莫滕森年代面包店|格尔达礼品店|丹麦曲奇,//place.qyer.com/solvang/,https://pic.qyer.com/album/user/525/7/REtQQh0PYQ/index/cover
美国,凤凰城,phoenix,4193人去过,沙漠植物园|亚利桑那州立大学|凤凰城艺术博物馆|南山公园保护区|巴巴哥公园|哈瓦苏瀑布|凤凰城天港国际机场|普莱增特湖|礼拜山|乐器博物馆|驼背山|赫德博物馆|罗斯福路艺术区|富国银行博物馆|凤凰城动物园|菲尼克斯太阳队主场篮球馆|Antiques on Central|UMOM New Day Centers|Golf Club of Estrella|Taco 男孩儿,//place.qyer.com/phoenix-usa/,https://pic.qyer.com/album/user/444/63/RU1RRBkCZw/index/cover
美国,西礁岛,key-west,3638人去过,天涯海角|海明威故居与博物馆|七里长桥|马洛里广场|老邮局和海关|杜鲁门小白宫|基韦斯特灯塔|西礁岛艺术与历史博物馆|美国1号公路|西礁岛蝴蝶温室|干龟岛国家公园|西礁岛失事船残骸博物馆|奥杜邦之家和他的热带花园|西礁岛水族馆|Sloppy Joe's|海滨码头|El Meson De Pepé|Yankee Freedom III 码头|西礁岛国际机场|Key Lime Pie Bakery,//place.qyer.com/key-west/,https://pic.qyer.com/album/155/96/1949142/index/cover
美国,圣西蒙,san-simeon,3624人去过,赫兹城堡|海豹滩|Sebastian Store|Cavalier Oceanfront Resort& Restaurant,//place.qyer.com/san-simeon/,https://pic.qyer.com/album/user/396/78/QkBTRRIFZg/index/cover
美国,皇后区,queens,3385人去过,法拉盛主街地铁站,//place.qyer.com/queens/,https://pic.qyer.com/album/user/3569/49/QkxTSx4OZEo/index/cover
美国,新奥尔良,new-orleans,3379人去过,新奥尔良法语区|杰克逊广场|法国人街|波旁街|橡树巷种植园|皇家街|美国国家二战博物馆|Café du Monde|拉法耶特1号公墓|Lake Pontchartrain Causeway|圣查尔斯街车|圣路易斯大教堂|法国市场|路易斯·阿姆斯特朗公园|嘉年华世界|典藏音乐厅|新奥尔良艺术博物馆|花园区|Commender's Palace|Drago's,//place.qyer.com/new-orleans/,https://pic.qyer.com/album/11f/da/1882361/index/cover
美国,莫阿布,moab,3376人去过,双零拱门|科罗纳拱门|峡谷地国家公园|死马点州立公园|鹅颈湾州立公园|科罗拉多国家纪念碑|威尔逊拱门|四川榕|Wolfe Ranch|Arches Thai|熔炉徒步区|磨坊峡谷恐龙化石之路|Pasta Jay's|不拘一格|沙漠餐厅|疯狂骑士|城市食物和药品商场,//place.qyer.com/moab/,https://pic.qyer.com/album/1a5/d9/2003236/index/cover
美国,半月湾,half-moon-bay,3363人去过,半月湾州立海滩|海滨小路|Pescadero海滩|Miramar海滩|Fitzgerald Marine Reserve|莱莫斯农场|Mavericks Beach|半月湾高尔夫训练营|Flying Fish Bar And Gril,//place.qyer.com/half-moon-bay/,https://pic.qyer.com/album/user/212/42/Q0hXRhgDZA/index/cover
