country,city,city_en,peopleNum,hotSpot,cityDetail,imgUrl
英国,伦敦,london,66021人去过,大英博物馆|伦敦塔桥|伦敦眼|白金汉宫|英国议会大厦|威斯敏斯特修道院|特拉法加广场|伦敦海德公园|伦敦唐人街|伦敦塔|英国国家美术馆|皇家骑兵卫队阅兵场|9¾站台|伦敦圣保罗大教堂|唐宁街10号|福尔摩斯博物馆|伦敦千禧桥|泰晤士河|格林威治皇家天文台|查令十字街,//place.qyer.com/london/,https://pic.qyer.com/album/user/485/74/RUFQRR4GaA/index/cover
英国,爱丁堡,edinburgh,34040人去过,爱丁堡城堡|皇家英里大道|司各特纪念塔|卡尔顿山|王子街花园|苏格兰国家美术馆|荷里路德宫|大象咖啡馆|圣吉尔斯大教堂|苏格兰国家博物馆|爱丁堡老城|爱丁堡北桥|亚瑟王座|爱丁堡国会广场|纳尔逊纪念碑|维多利亚街|苏格兰威士忌体验中心|福斯桥|老学院|爱丁堡威弗利火车站,//place.qyer.com/edinburgh/,https://pic.qyer.com/album/129/35/1903766/index/cover
英国,剑桥,cambridge,29881人去过,剑桥叹息桥|剑河|数学桥|圣体钟|大圣玛丽教堂|徐志摩诗碑|三一巷|牛顿苹果树|国王学院礼拜堂|康河撑船|剑桥大学|后花园|新庭院|三一学堂|剑桥大学图书馆|伊曼纽尔学院|剑桥圣三一教堂|国王学院桥|彼得学院|圣三一学院礼拜堂,//place.qyer.com/cambridge/,https://pic.qyer.com/album/164/8c/1915676/index/cover
英国,牛津,oxford,28263人去过,赫特福德桥|博德莱安图书馆|圣玛丽大学教堂|牛津大学万灵学院|牛津大学王后学院|卡法斯塔|牛津城堡|谢尔登剧院|牛津大学自然史博物馆|莫德林学院|牛津大学城|牛津大学林肯学院|殉教者纪念碑|Blackwell书店|阿什莫林博物馆|牛津大学基督教会学院食堂|牛津大学公园|科学史博物馆|牛津博物馆|赫特福德桥,//place.qyer.com/oxford-uk/,https://pic.qyer.com/album/194/84/1980928/index/cover
英国,曼彻斯特,manchester,21276人去过,老特拉福德球场|曼彻斯特唐人街|曼彻斯特市政厅|曼彻斯特大教堂|科学工业博物馆|曼彻斯特大学|国家足球博物馆|曼彻斯特博物馆|约翰瑞兰德图书馆|曼彻斯特艺术馆|伊蒂哈德球场|曼彻斯特皮卡迪利火车站|同性恋村|Piccadilly Gardens|阿尔伯特广场|曼彻斯特机场|红辣椒京川菜餐厅|Manchester Arndale Shopping Centre|特拉福德中心|惠特沃斯美术馆,//place.qyer.com/manchester-uk/,https://pic.qyer.com/album/11b/11/1947105/index/cover
英国,约克,york,20913人去过,约克大教堂|约克城墙|谢姆伯街|贝蒂茶室(约克店)|国家铁路博物馆|克利福德塔|对角巷|霍华德城堡|约克郡博物馆|约克城堡博物馆|约克大学|乌斯河|约克火车站|漫步古城约克|Jorvik海盗中心|约克地牢|英国约克郡巧克力博物馆|York Designer Outlet|圣玛丽修道院遗址|York Minster Tower Climb,//place.qyer.com/york/,https://pic.qyer.com/album/user/339/79/QkpcRRMCZA/index/cover
英国,巴斯,bath,20643人去过,罗马浴场|皇家新月|圆形广场|巴斯修道院|普尔特尼桥和堰|简·奥斯汀纪念馆|Sally Lunn's|巴斯街|皇家新月1号|皇家维多利亚公园|圣约翰教堂|服饰博物馆|Sally Lunn's Museum|Bath City Church|新巴斯温泉浴|巴斯邮政博物馆|巴斯城际交通|珍珠奶茶|普赖尔公园景观花园|缤纷花园,//place.qyer.com/bath-uk/,https://pic.qyer.com/album/1ef/79/1980936/index/cover
英国,格拉斯哥,glasgow,14278人去过,乔治广场|格拉斯哥大教堂|凯文葛罗夫艺术博物馆|格拉斯哥现代艺术馆|格拉斯哥市政厅|格拉斯哥公墓|灯塔|格拉斯哥植物园|格拉斯哥中央火车站|人民宫|格拉斯哥艺术学院|河畔博物馆|Loch Lomond and the Trossachs National Park|格拉斯哥皇后街火车站|格拉斯哥科学中心|地铁|惠灵顿公爵雕像(格拉斯哥)|亨特博物馆|王子广场|格拉斯哥国际机场,//place.qyer.com/glasgow/,https://pic.qyer.com/album/user/410/32/RUhVQRgCZg/index/cover
英国,伯明翰,birmingham,13180人去过,维多利亚广场|伯明翰中国城|伯明翰中央图书馆|伯明翰博物馆和美术馆|牛环购物中心|伯明翰圣马丁教堂|吉百利巧克力世界|布林特利运河区|伯明翰大教堂|邮箱百货|巴伯艺术学院|伯明翰植物园|珠宝角博物馆|世纪广场|国家海洋生物中心|阿斯顿庄园|名门自助餐厅|新街火车站|汉朝餐厅|伯明翰圣诞市集,//place.qyer.com/birmingham-uk/,https://pic.qyer.com/album/182/a8/1898805/index/cover
英国,利物浦,liverpool,11863人去过,阿尔伯特港口|甲壳虫乐队博物馆|利物浦大教堂|利物浦博物馆|利物浦摩天轮|安菲尔德球场|基督君王都主教座堂|圣乔治大堂|利物浦大学维多利亚博物馆|泰德利物浦艺术馆|利物浦名人墙|王家Liver大厦|默西塞德海事博物馆|利物浦火车站|步行者美术馆|Liverpool One|圣卢克斯教堂|美惠三女神|洞穴俱乐部|利物浦便士街,//place.qyer.com/liverpool-uk/,https://pic.qyer.com/album/user/993/75/SEBWRR8DaA/index/cover
英国,温莎,"windsor,uk",10352人去过,温莎城堡|伊顿公学|温莎大公园|圣乔治教堂|温莎圣约翰教堂|温莎市政厅|圣三一加里森教堂|温莎火车站|亚历山大花园|温莎皇家剧院|伊顿公学自然历史博物馆|温莎皇家赛马场|软糖厨房（温莎分店）|卢巴布和卡斯塔德伊顿摄影工作室画廊|Gilbey's Bar & Restaurant Eton|塞巴斯蒂安的意大利餐厅|浮若阁摩尔宫|The Waterside Inn|The Greene Oak,//place.qyer.com/windsor-uk/,https://pic.qyer.com/album/user/1146/20/QEhRRBgHZEs/index/cover
英国,英国湖区,lake-district-national-park,9641人去过,彼得兔世界|温德米尔湖|温德米尔圣马丁教堂|桥屋|温德米尔湖游船|漫步湖区|格里斯米尔湖|鸽屋和华兹华斯博物馆|波尼斯码头|彼得兔商店|巴特米尔湖|德文特湖|温德米尔火车站、巴士站|姜饼屋|阿尔斯沃特湖|温德米尔湖徒步及游船|彼得兔艺廊|卡塞里格石圈|铅笔博物馆|Orrest Head,//place.qyer.com/lake-district-national-park/,https://pic.qyer.com/album/user/211/17/Q0hUQx0EZg/index/cover
英国,布莱顿,brighton,8086人去过,英国布莱顿海滩|布莱顿码头|皇家行宫|七姐妹国家公园|布莱顿摩天轮(已关闭)|巷子区|布莱顿博物馆和美术馆|布莱顿圆顶剧场|The Regency Restaurant|布莱顿海洋馆|英国航空i360观光塔|布莱顿城际交通|布莱顿渔业博物馆|南部丘陵国家公园|Riddle and Finns The Lanes|布莱顿同性恋游行|布斯自然历史博物馆|English's of Brighton|Riddle and Finns The Beach|丘吉尔广场购物中心,//place.qyer.com/brighton/,https://pic.qyer.com/album/user/389/47/QkFcRh0DYA/index/cover
英国,尼斯湖地区,loch-ness,6876人去过,尼斯湖|尼斯湖水怪展览中心|苏格兰运河|尼斯湖游船|The Falls of Foyers|Loch Ness Inn,//place.qyer.com/loch-ness/,https://pic.qyer.com/album/user/476/62/RU5TRBgOaA/index/cover
英国,布里斯托,bristol,6864人去过,克里夫顿吊桥|布里斯托尔大教堂|威尔斯纪念楼|布里斯托尔博物馆和美术馆|“See No Evil”涂鸦街|维多利亚大厅|布里斯托皇后广场|大不列颠号蒸汽船|圣玛丽红崖教堂|布里斯托尔热气球节|布里斯托尔科技馆|克里夫顿天文台|Cabot Circus购物中心|布里斯托Temple Meads火车站|卡伯特塔|布里斯托尔谷物大街|圣尼古拉斯市场|五月花餐厅|布里斯托尔动物园|生态公园,//place.qyer.com/bristol/,https://pic.qyer.com/album/user/377/21/Qk5SQBsBZA/index/cover
英国,利兹,leeds,6754人去过,利兹市政厅|千禧年广场|Briggate大街|利兹大学|利兹美术馆|利兹大教堂|皇家军械博物馆|Kirkgate市场|科克斯多修道院|利兹谷物交易所|利兹城市博物馆|艾兰路球场|利兹工业博物馆|修道院博物馆|Trinity Leeds|朗德海公园|哈伍德庄园|利兹火车站|维多利亚区|韦克菲尔德大教堂,//place.qyer.com/leeds/,https://pic.qyer.com/album/113/62/2003193/index/cover
英国,温德米尔和波尼斯,windermere-and-bowness,6626人去过,彼得兔世界|温德米尔圣马丁教堂|温德米尔湖游船|漫步湖区|波尼斯码头|彼得兔商店|温德米尔火车站、巴士站|温德米尔湖徒步及游船|Orrest Head|温德米尔湖租船游|布莱克威尔工艺屋|Tesco Express|Booths Windermere|老朗德瑞剧院|Grey Walls Steakhouse and Restaurant|The Fun Factory Bowness|The Queens Pub|Cafe Latte|波尼斯小镇|Hooked,//place.qyer.com/windermere-and-bowness/,https://pic.qyer.com/album/183/53/1991668/index/cover
英国,贝尔法斯特,belfast,6432人去过,贾恩茨考斯韦海岸|贝尔法斯特市政厅|卡里克空中索桥|贝尔法斯特泰坦尼克博物馆|大鱼|阿尔伯特纪念钟楼|贝尔法斯特女王大学|黑暗树篱|贝尔法斯特植物园|圣安妮大教堂|贝尔法斯特城堡|阿尔斯特博物馆|圣乔治市场|大歌剧院(贝尔法斯特)|卡里克弗格斯城堡|皇冠酒吧|和平墙|圣帕特里克教堂|维多利亚广场|贝尔法斯特国际机场,//place.qyer.com/belfast/,https://pic.qyer.com/album/1ff/89/1945696/index/cover
英国,谢菲尔德,sheffield,6422人去过,查茨沃斯庄园|谢菲尔德火车站前广场|谢菲尔德市政厅|梅菲尔德羊驼馆|冬季花园（谢菲尔德）|和平公园|圣彼得和圣保罗大教堂|谢菲尔德植物园|千禧画廊|谢菲尔德大礼堂|伦敦路|韦斯顿公园博物馆|MeadowHall|格拉夫画廊|圣玛丽亚大教堂（谢菲尔德）|克鲁斯堡剧院|谢菲尔德体育馆|国家紧急服务博物馆|卡斯沃斯庄园博物馆与公园|凯尔汉姆岛博物馆,//place.qyer.com/sheffield/,https://pic.qyer.com/album/1cb/f4/2055300/index/cover
英国,比斯特,bicester,6396人去过,比斯特购物村|北利奇镇|比斯特历史遗产主题公园|比斯特购物村火车站|加思公园|Anya Hindmarch|SWB 赛车场|博阿斯道尔塔|博阿斯道尔捕鸟场|The Nut Tree Inn,//place.qyer.com/bicester/,https://pic.qyer.com/album/user/3525/38/QkxXRxkPY0o/index/cover
