city,spot_name,strategy_sum,star,intro,rank,lng,lat,comment_sum,visitors
香港,九龙寨城公园,4,width:86%,公园建筑以江南园林为主题，见证香港百年沧桑巨变史。,香港景点排名第,114.201801,22.335106,121,0%
香港,香港故宫文化博物馆,0,width:96%,,,114.1667978,22.3047845,0,0%
香港,中环街市,0,width:100%,,,114.1670074,22.2871749,0,0%
香港,海滨长廊,0,width:00%,,,114.112,22.3657,1,0%
香港,重庆大厦,2,width:84%,因《重庆森林》而出名，三教九流各色人种混杂聚居，港式多元文化的代表。,,114.1838997,22.2992147,274,0%
香港,芦须城泳滩,1,width:80%,,香港景点排名第,114.1341891,22.2080866,6,0%
香港,尖沙咀钟楼,16,width:92%,广九铁路旧尖沙咀站遗迹，紧邻维港，留念必去。,香港景点排名第,114.1810671,22.2964909,332,8%
香港,旺角通菜街,22,width:90%,远近闻名的女人购物街，汇集逾百个地摊的露天市集。,香港景点排名第,114.1817307,22.3239941,282,16%
香港,天坛大佛,16,width:94%,全球第二大青铜坐佛，香火繁盛，展览馆内供奉佛祖真身舍利。,香港景点排名第,113.9163421,22.2569753,186,4%
香港,心经简林,4,width:86%,,香港景点排名第,113.9233426,22.2553708,40,0%
香港,大澳,10,width:96%,原始渔村，棚屋、古庙、渔家美味，感受繁华都市的另一面。,香港景点排名第,113.8774741,22.2556377,636,1%
香港,尖沙咀海滨花园,8,width:90%,尖沙咀滨海大道，近距离感受维港风采，沿途景点众多，景观开阔。,香港景点排名第,114.1898446,22.3001741,182,0%
香港,啬色园黄大仙祠,32,width:94%,香火旺盛的庙宇，建筑古典华丽，黄大仙相传“有求必应”，还可求签占卜。,香港景点排名第,114.2047243,22.3457363,814,10%
香港,宝莲禅寺,7,width:92%,香港四大禅林之一，四面群山环抱，峰峦起伏，景色迷人。,香港景点排名第,113.9194455,22.2584287,237,2%
香港,香港会议展览中心,9,width:94%,坐瞰美丽的维多利亚港，每年都会举办种类丰富的展览。,香港景点排名第,114.1846471,22.2862878,428,9%
香港,金紫荆广场,29,width:88%,巨大的金色紫荆花铜像，是香港回归的标志性建筑，可观看庄严的升降旗仪式。,香港景点排名第,114.1854072,22.2873346,963,19%
香港,凌霄阁,23,width:88%,摩天台428饱览香港美景，蜡像馆内与名人合影，各式餐厅饱口福。,香港景点排名第,114.1614927,22.2744481,555,17%
香港,南生围,1,width:86%,,香港景点排名第,114.0500378,22.4652684,30,0%
香港,白泥,1,width:80%,,香港景点排名第,113.9596961,22.4377223,7,0%
香港,香港湿地公园,1,width:86%,观赏多种湿地景观及动植物，寓教于乐，亲子休闲好去处。,香港景点排名第,114.0180583,22.4734986,199,0%
香港,长洲岛,18,width:94%,长洲岛的海鲜大排档人气颇高，还可沙滩戏水观日落，海堤骑行赏美景。,香港景点排名第,114.0380469,22.2048565,718,1%
香港,浅水湾,14,width:92%,香港知名的美丽海滩，坡缓滩长，水清沙细，也是香港富豪聚居区。,香港景点排名第,114.2066546,22.2375688,767,9%
香港,西贡,13,width:92%,新界东部“山和海相遇的地方”，拥有迷人海滩、新鲜海鲜大餐，还可乘船出海。,香港景点排名第,114.2821191,22.3867427,435,1%
香港,元创方,4,width:90%,港式创意小店大本营，100多位设计师云集，真文青必到朝圣之地。,香港景点排名第,114.1632565,22.2866238,40,0%
香港,庙街,48,width:92%,港式风情街，这里有夜市摊位、海鲜排挡、街头卖艺、算命摊，市井气息浓厚。,香港景点排名第,114.1817408,22.3102299,584,19%
香港,花园街,17,width:88%,知名波鞋街，各种限量版球鞋都能找到，且价格实惠。,香港景点排名第,114.1823342,22.3239701,397,17%
